id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5,ltp
1,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE-EQ,2885,1577069.0,2383.0,2383.0,2325.0,2334.1,2182.466666666667,2218.1000000000004,2253.7333333333336,2289.366666666667,2311.7333333333336,2347.366666666667,2369.7333333333336,2405.366666666667,2427.7333333333336,2450.1000000000004,2472.466666666667,2349.3
2,Tata Consultancy Services Ltd.,Information Technology,TCS-EQ,11536,1173055.0,3600.0,3602.8,3527.35,3536.75,3338.6833333333325,3385.8499999999985,3433.016666666666,3480.183333333333,3508.4666666666662,3555.633333333333,3583.9166666666665,3631.0833333333335,3659.366666666667,3687.6500000000005,3715.9333333333343,3570.85
3,HDFC Bank Ltd.,Financial Services,HDFCBANK-EQ,1333,898087.0,1534.0,1537.6,1518.35,1523.7,1474.1500000000005,1485.2000000000003,1496.25,1507.3,1515.5,1526.55,1534.75,1545.8,1554.0,1562.2000000000003,1570.4000000000005,1535.75
4,ICICI Bank Ltd.,Financial Services,ICICIBANK-EQ,4963,612482.0,945.5,947.25,934.75,942.6,911.8833333333332,917.5999999999999,923.3166666666666,929.0333333333333,935.8166666666666,941.5333333333333,948.3166666666666,954.0333333333333,960.8166666666666,967.5999999999999,974.3833333333332,951.3
5,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR-EQ,1394,601577.0,2500.0,2501.0,2453.2,2460.35,2335.2666666666655,2364.749999999999,2394.2333333333327,2423.7166666666662,2442.033333333333,2471.5166666666664,2489.833333333333,2519.3166666666666,2537.633333333333,2555.95,2574.2666666666664,2569.45
6,Infosys Ltd.,Information Technology,INFY-EQ,1594,592393.0,1467.9,1472.6,1435.0,1439.45,1340.666666666667,1364.250000000001,1387.8333333333335,1411.4166666666667,1425.4333333333334,1449.0166666666667,1463.0333333333333,1486.6166666666666,1500.6333333333332,1514.65,1528.666666666667,1431.15
7,ITC Ltd.,Fast Moving Consumer Goods,ITC-EQ,1660,476322.0,449.95,449.95,439.6,440.75,413.53333333333353,420.05000000000007,426.5666666666667,433.08333333333337,436.9166666666667,443.43333333333334,447.26666666666665,453.7833333333333,457.6166666666666,461.4499999999998,465.2833333333333,448.35
8,State Bank of India,Financial Services,SBIN-EQ,3045,467426.0,591.25,595.2,588.85,589.95,573.3833333333332,577.25,581.1166666666667,584.9833333333333,587.4666666666667,591.3333333333334,593.8166666666667,597.6833333333334,600.1666666666667,602.6499999999999,605.1333333333334,576.15
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL-EQ,10604,417577.0,926.0,932.0,918.6,925.65,892.2666666666664,898.8499999999999,905.4333333333333,912.0166666666667,918.8333333333333,925.4166666666666,932.2333333333332,938.8166666666666,945.6333333333332,952.4499999999998,959.2666666666664,954.2
10,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK-EQ,1922,344231.0,1762.2,1771.9,1729.0,1733.2,1620.1999999999998,1647.3999999999996,1674.6,1701.8,1717.5,1744.7,1760.4,1787.6000000000001,1803.3000000000002,1819.0000000000005,1834.6999999999998,1762.0
11,Bajaj Finance Ltd.,Financial Services,BAJFINANCE-EQ,317,340054.0,7804.75,7829.0,7718.05,7739.0,7450.116666666665,7517.0999999999985,7584.083333333333,7651.066666666667,7695.033333333333,7762.016666666666,7805.983333333333,7872.966666666666,7916.9333333333325,7960.899999999998,8004.866666666665,8051.65
12,Life Insurance Corporation of India,Financial Services,LICI-EQ,9480,337976.0,646.0,652.0,643.05,650.3,628.8499999999997,632.3999999999999,635.9499999999998,639.4999999999999,644.8999999999999,648.4499999999999,653.8499999999999,657.4,662.8,668.2,673.5999999999999,634.65
13,Larsen & Toubro Ltd.,Construction,LT-EQ,11483,304164.0,2989.0,3050.5,2978.25,3010.0,2827.916666666666,2865.5,2903.083333333333,2940.6666666666665,2975.333333333333,3012.9166666666665,3047.583333333333,3085.1666666666665,3119.833333333333,3154.5,3189.166666666666,3089.6
14,HCL Technologies Ltd.,Information Technology,HCLTECH-EQ,7229,294500.0,1261.1,1266.0,1238.55,1241.9,1169.8166666666675,1187.000000000001,1204.1833333333336,1221.3666666666668,1231.6333333333337,1248.8166666666668,1259.0833333333337,1276.2666666666669,1286.5333333333338,1296.800000000001,1307.0666666666675,1255.9
15,Asian Paints Ltd.,Consumer Durables,ASIANPAINT-EQ,236,264896.0,3281.8,3289.0,3155.0,3170.35,2818.133333333333,2902.3500000000004,2986.5666666666666,3070.7833333333333,3120.5666666666666,3204.7833333333333,3254.5666666666666,3338.7833333333333,3388.5666666666666,3438.3500000000004,3488.133333333333,3148.8
16,Axis Bank Ltd.,Financial Services,AXISBANK-EQ,5900,264120.0,1027.0,1037.95,1025.2,1030.9,998.8000000000002,1005.3999999999996,1012.0000000000002,1018.6000000000001,1024.7500000000002,1031.3500000000001,1037.5000000000002,1044.1000000000001,1050.2500000000002,1056.3999999999999,1062.5500000000002,994.05
17,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI-EQ,10999,250489.0,10650.5,10705.0,10532.05,10565.35,10115.250000000004,10219.45,10323.650000000001,10427.85,10496.600000000002,10600.800000000001,10669.550000000003,10773.750000000002,10842.500000000004,10911.250000000004,10980.000000000007,10727.55
18,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA-EQ,3351,235878.0,1142.95,1152.0,1128.85,1132.3,1071.7166666666658,1085.9999999999995,1100.2833333333328,1114.5666666666664,1123.433333333333,1137.7166666666665,1146.583333333333,1160.8666666666666,1169.7333333333331,1178.6,1187.4666666666662,1145.3
19,Titan Company Ltd.,Consumer Durables,TITAN-EQ,3506,223269.0,3217.5,3224.9,3141.75,3157.25,2940.6833333333325,2990.949999999999,3041.2166666666662,3091.483333333333,3124.3666666666663,3174.633333333333,3207.5166666666664,3257.7833333333333,3290.6666666666665,3323.5499999999993,3356.4333333333325,3283.75
20,Avenue Supermarts Ltd.,Consumer Services,DMART-EQ,19913,220311.0,3692.0,3692.0,3651.0,3671.05,3568.3999999999996,3589.0499999999993,3609.7,3630.35,3650.7,3671.35,3691.7,3712.35,3732.7,3753.0499999999993,3773.3999999999996,3935.85
21,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO-EQ,11532,220038.0,8264.8,8323.95,8134.0,8154.35,7654.5999999999985,7774.450000000001,7894.299999999999,8014.15,8084.25,8204.1,8274.2,8394.050000000001,8464.150000000001,8534.250000000004,8604.350000000002,8369.0
22,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND-EQ,17963,217000.0,22900.0,22907.95,22447.8,22538.45,21341.59999999999,21618.149999999994,21894.699999999993,22171.249999999996,22354.849999999995,22631.399999999998,22814.999999999996,23091.55,23275.149999999998,23458.75,23642.34999999999,23554.35
23,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV-EQ,16675,201730.0,1565.0,1574.95,1535.05,1539.7,1434.8499999999995,1459.8999999999996,1484.9499999999996,1509.9999999999998,1524.8499999999997,1549.8999999999999,1564.7499999999998,1589.8,1604.6499999999999,1619.5,1634.3499999999995,1646.55
24,Wipro Ltd.,Information Technology,WIPRO-EQ,3787,200446.0,416.5,416.5,404.0,405.35,372.46666666666647,380.3499999999999,388.23333333333323,396.1166666666666,400.73333333333323,408.6166666666666,413.23333333333323,421.1166666666666,425.73333333333323,430.3499999999999,434.96666666666647,411.05
25,Adani Enterprises Ltd.,Metals & Mining,ADANIENT-EQ,25,199551.0,2489.95,2511.0,2446.7,2475.25,2313.3,2346.6500000000005,2380.0,2413.35,2444.3,2477.65,2508.6000000000004,2541.9500000000003,2572.9000000000005,2603.8500000000013,2634.800000000001,2454.55
26,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC-EQ,2475,190025.0,188.9,189.5,186.5,187.45,179.76666666666677,181.45000000000005,183.13333333333338,184.8166666666667,186.13333333333338,187.8166666666667,189.13333333333338,190.8166666666667,192.13333333333338,193.45000000000005,194.76666666666677,184.9
27,NTPC Ltd.,Power,NTPC-EQ,11630,169788.0,239.6,241.2,235.65,237.05,222.7166666666668,225.95000000000016,229.18333333333342,232.4166666666667,234.7333333333334,237.9666666666667,240.2833333333334,243.51666666666668,245.83333333333337,248.15000000000003,250.4666666666667,242.05
28,JSW Steel Ltd.,Metals & Mining,JSWSTEEL-EQ,11723,166328.0,780.7,787.4,764.35,768.1,707.8833333333332,722.0,736.1166666666667,750.2333333333333,759.1666666666666,773.2833333333333,782.2166666666666,796.3333333333333,805.2666666666665,814.1999999999998,823.1333333333332,777.25
29,Power Grid Corporation of India Ltd.,Power,POWERGRID-EQ,14977,157435.0,200.1,204.45,197.8,200.75,184.0,187.4500000000001,190.90000000000003,194.35000000000002,197.55,201.0,204.2,207.64999999999998,210.84999999999997,214.0499999999999,217.25,201.8
30,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M-EQ,2031,144087.0,1595.95,1596.9,1544.0,1556.05,1418.999999999999,1450.249999999999,1481.4999999999995,1512.7499999999998,1534.3999999999996,1565.6499999999999,1587.2999999999997,1618.55,1640.1999999999998,1661.85,1683.499999999999,1562.45
31,LTIMindtree Ltd.,Information Technology,LTIM-EQ,17818,140799.0,5462.0,5462.0,5218.1,5264.9,4630.0999999999985,4777.1,4924.1,5071.1,5168.0,5315.0,5411.9,5558.9,5655.799999999999,5752.699999999999,5849.5999999999985,5095.15
32,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS-EQ,3456,139762.0,622.9,623.8,612.25,614.1,583.916666666667,591.0000000000002,598.0833333333335,605.1666666666667,609.6333333333334,616.7166666666667,621.1833333333334,628.2666666666667,632.7333333333333,637.2,641.6666666666667,667.1
33,Adani Green Energy Ltd.,Power,ADANIGREEN-EQ,3563,139577.0,1020.0,1021.25,1001.0,1012.45,962.2666666666664,971.9499999999998,981.6333333333332,991.3166666666666,1001.8833333333332,1011.5666666666666,1022.1333333333332,1031.8166666666666,1042.3833333333332,1052.9499999999998,1063.5166666666664,948.9
34,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS-EQ,15083,136499.0,833.25,841.35,819.15,823.1,765.2166666666667,778.6999999999998,792.1833333333333,805.6666666666666,814.3833333333333,827.8666666666667,836.5833333333334,850.0666666666667,858.7833333333334,867.5,876.2166666666667,813.75
35,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA-EQ,20374,131666.0,291.55,294.15,289.0,290.2,276.86666666666656,279.9,282.9333333333333,285.96666666666664,288.08333333333326,291.1166666666666,293.23333333333323,296.2666666666666,298.3833333333332,300.4999999999999,302.61666666666645,307.95
36,Tata Steel Ltd.,Metals & Mining,TATASTEEL-EQ,3499,127715.0,128.35,129.3,126.3,126.8,118.9666666666667,120.80000000000001,122.63333333333335,124.46666666666667,125.63333333333335,127.46666666666668,128.63333333333338,130.4666666666667,131.63333333333338,132.80000000000007,133.96666666666675,125.05
37,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC-EQ,1424,123949.0,311.0,311.4,294.0,297.95,252.86666666666656,263.15,273.4333333333333,283.71666666666664,290.83333333333326,301.1166666666666,308.23333333333323,318.5166666666666,325.6333333333332,332.7499999999999,339.86666666666645,318.6
38,Pidilite Industries Ltd.,Chemicals,PIDILITIND-EQ,2664,119606.0,2499.5,2503.95,2414.05,2421.35,2184.050000000002,2241.550000000001,2299.050000000001,2356.5500000000006,2388.9500000000007,2446.4500000000003,2478.8500000000004,2536.35,2568.75,2601.1499999999996,2633.55,2460.05
39,Siemens Ltd.,Capital Goods,SIEMENS-EQ,3150,118486.0,3740.95,3740.95,3615.0,3626.55,3294.5333333333347,3374.6500000000015,3454.7666666666673,3534.8833333333337,3580.716666666667,3660.8333333333335,3706.666666666667,3786.7833333333333,3832.616666666667,3878.45,3924.2833333333347,3592.2
40,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE-EQ,21808,110206.0,1301.0,1308.5,1284.5,1289.4,1227.0333333333338,1241.4000000000005,1255.7666666666669,1270.1333333333334,1279.7666666666669,1294.1333333333334,1303.7666666666669,1318.1333333333334,1327.7666666666669,1337.4000000000005,1347.0333333333338,1316.45
41,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC-EQ,1624,110004.0,90.8,91.4,89.5,89.8,84.83333333333331,85.99999999999994,87.16666666666666,88.33333333333333,89.06666666666666,90.23333333333333,90.96666666666667,92.13333333333334,92.86666666666667,93.6,94.33333333333331,90.85
42,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO-EQ,16669,109921.0,5047.8,5128.85,4980.15,5006.6,4618.883333333333,4709.200000000001,4799.516666666666,4889.833333333333,4948.216666666667,5038.533333333334,5096.916666666668,5187.2333333333345,5245.616666666669,5304.000000000004,5362.383333333337,5052.4
43,Grasim Industries Ltd.,Construction Materials,GRASIM-EQ,1232,107502.0,1930.0,1937.95,1896.6,1906.5,1799.5333333333328,1823.7999999999997,1848.0666666666666,1872.3333333333333,1889.4166666666667,1913.6833333333334,1930.7666666666669,1955.0333333333335,1972.116666666667,1989.2000000000007,2006.2833333333338,1982.6
44,Tech Mahindra Ltd.,Information Technology,TECHM-EQ,13538,107336.0,1274.05,1274.05,1222.0,1229.5,1093.2000000000007,1125.4000000000005,1157.6000000000004,1189.8000000000002,1209.6500000000003,1241.8500000000001,1261.7000000000003,1293.9,1313.7500000000002,1333.6000000000004,1353.4500000000007,1194.1
45,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE-EQ,467,107296.0,645.2,650.65,633.35,634.7,589.0166666666669,600.1000000000004,611.1833333333335,622.2666666666668,628.4833333333335,639.5666666666667,645.7833333333334,656.8666666666667,663.0833333333334,669.3000000000002,675.5166666666669,625.25
46,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA-EQ,547,104106.0,4627.35,4634.3,4505.05,4524.55,4186.383333333335,4266.049999999999,4345.716666666668,4425.383333333334,4474.966666666668,4554.633333333334,4604.216666666668,4683.883333333334,4733.466666666668,4783.049999999999,4832.633333333335,4574.7
47,Vedanta Ltd.,Metals & Mining,VEDL-EQ,3063,102018.0,209.0,213.15,208.0,208.35,194.73333333333335,198.04999999999995,201.36666666666667,204.68333333333334,206.51666666666668,209.83333333333334,211.66666666666669,214.98333333333335,216.8166666666667,218.64999999999998,220.48333333333335,226.2
48,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP-EQ,10099,99012.0,999.8,1011.0,987.9,994.15,934.6333333333337,947.9500000000003,961.2666666666669,974.5833333333334,984.3666666666668,997.6833333333334,1007.4666666666668,1020.7833333333334,1030.5666666666668,1040.3500000000004,1050.1333333333337,982.95
49,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR-EQ,772,96543.0,561.0,561.85,545.55,547.25,504.35000000000014,514.6499999999999,524.95,535.25,541.2500000000001,551.5500000000001,557.5500000000002,567.8500000000001,573.8500000000003,579.8500000000004,585.8500000000004,538.85
50,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL-EQ,6066,95436.0,629.8,631.45,621.2,622.15,595.1333333333334,601.6500000000001,608.1666666666667,614.6833333333334,618.4166666666667,624.9333333333334,628.6666666666667,635.1833333333334,638.9166666666667,642.6500000000001,646.3833333333334,601.65
51,Shree Cement Ltd.,Construction Materials,SHREECEM-EQ,3103,94484.0,26506.0,26543.0,25551.25,25631.7,23013.84999999999,23648.199999999997,24282.549999999996,24916.899999999998,25274.299999999996,25908.649999999998,26266.049999999996,26900.399999999998,27257.799999999996,27615.199999999997,27972.59999999999,26851.15
52,Adani Energy Solutions Ltd.,Power,ADANIENSOL-EQ,10217,93695.0,817.0,839.65,816.4,830.5,773.2000000000003,784.0000000000005,794.8000000000001,805.6,818.0500000000001,828.85,841.3000000000001,852.1,864.5500000000001,877.0000000000005,889.4500000000003,785.2
53,Hindustan Aeronautics Ltd.,Capital Goods,HAL-EQ,2303,91324.0,1934.8,1941.6,1885.0,1889.15,1739.6000000000004,1775.9500000000007,1812.3000000000002,1848.65,1868.9,1905.25,1925.5,1961.85,1982.1,2002.35,2022.6000000000004,1975.1
54,Hindalco Industries Ltd.,Metals & Mining,HINDALCO-EQ,1363,91090.0,476.0,479.6,464.45,466.85,427.25,436.54999999999995,445.84999999999997,455.15,461.0,470.3,476.15000000000003,485.45000000000005,491.30000000000007,497.1500000000002,503.0000000000002,480.6
55,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL-EQ,18921,90093.0,972.8,974.75,942.35,945.9,860.6833333333334,881.0999999999999,901.5166666666668,921.9333333333334,933.9166666666667,954.3333333333334,966.3166666666667,986.7333333333333,998.7166666666667,1010.6999999999998,1022.6833333333334,929.5
56,DLF Ltd.,Realty,DLF-EQ,14732,88294.0,529.15,529.8,517.35,520.1,487.8166666666666,495.2000000000003,502.58333333333337,509.9666666666667,515.0333333333333,522.4166666666666,527.4833333333332,534.8666666666666,539.9333333333332,544.9999999999998,550.0666666666664,568.4
57,Bank of Baroda,Financial Services,BANKBARODA-EQ,4668,87318.0,214.85,216.5,209.75,210.65,192.94999999999993,197.14999999999998,201.34999999999997,205.54999999999998,208.09999999999997,212.29999999999998,214.84999999999997,219.04999999999998,221.59999999999997,224.14999999999998,226.69999999999993,203.5
58,IndusInd Bank Ltd.,Financial Services,INDUSINDBK-EQ,5258,82857.0,1437.0,1445.35,1409.45,1413.0,1318.4500000000007,1341.2000000000007,1363.9500000000005,1386.7000000000003,1399.8500000000004,1422.6000000000001,1435.7500000000002,1458.5,1471.65,1484.7999999999997,1497.9499999999998,1463.7
59,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT-EQ,910,80645.0,3480.0,3500.0,3425.0,3440.25,3245.333333333334,3290.25,3335.166666666667,3380.0833333333335,3410.166666666667,3455.0833333333335,3485.166666666667,3530.0833333333335,3560.166666666667,3590.25,3620.333333333334,3476.4
60,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY-EQ,881,76981.0,5507.45,5507.45,5411.0,5429.1,5177.933333333334,5236.200000000001,5294.466666666667,5352.733333333334,5390.916666666667,5449.183333333333,5487.366666666667,5545.633333333333,5583.816666666667,5622.0,5660.183333333334,5460.2
61,Divi's Laboratories Ltd.,Healthcare,DIVISLAB-EQ,10940,74951.0,3778.2,3799.95,3651.0,3665.0,3272.466666666669,3367.100000000002,3461.7333333333345,3556.3666666666672,3610.6833333333343,3705.316666666667,3759.633333333334,3854.266666666667,3908.583333333334,3962.9000000000005,4017.216666666669,0.0
62,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL-EQ,526,74687.0,347.05,350.0,342.0,343.95,323.26666666666665,327.95000000000005,332.6333333333333,337.31666666666666,340.6333333333333,345.31666666666666,348.6333333333333,353.31666666666666,356.6333333333333,359.95000000000005,363.26666666666665,0.0
63,Havells India Ltd.,Consumer Durables,HAVELLS-EQ,9819,74460.0,1410.8,1416.6,1368.05,1375.15,1248.0499999999993,1278.0500000000002,1308.0499999999995,1338.0499999999997,1356.5999999999995,1386.5999999999997,1405.1499999999994,1435.1499999999996,1453.6999999999994,1472.2499999999995,1490.7999999999988,0.0
64,Adani Power Ltd.,Power,ADANIPOWER-EQ,17388,73898.0,376.8,379.85,372.45,375.4,356.64999999999964,360.5999999999997,364.5499999999998,368.4999999999999,371.9499999999998,375.8999999999999,379.34999999999985,383.29999999999995,386.7499999999999,390.19999999999993,393.64999999999986,0.0
65,InterGlobe Aviation Ltd.,Services,INDIGO-EQ,11195,73664.0,2373.05,2394.45,2333.35,2342.35,2182.416666666668,2220.1499999999996,2257.8833333333337,2295.616666666667,2318.9833333333336,2356.7166666666667,2380.0833333333335,2417.8166666666666,2441.1833333333334,2464.55,2487.916666666667,0.0
